,FirstNight,Libros,Tasa_PickUP,TasaNoShow,TasaCancelación,Estancia_Promedio,ResvGorro
57,2018-06-27,66.0,0.7444444440000001,0.027777778,0.083333333,4.8097560999999995,102.60725307413642
58,2018-06-28,96.0,0.910994764,0.006980803000000001,0.5270506110000001,3.3826531,86.15947485077292
59,2018-06-29,881.0,0.40371517,0.036532508,0.09721362199999999,6.3227578,1075.664820017999
60,2018-06-30,1067.0,0.292344498,0.055502392000000005,0.12775119599999998,6.6795606,1136.0147300106457
61,2018-07-01,1053.0,0.443649374,0.029218842999999998,0.08825283199999999,6.557211,1345.5066826679292
62,2018-07-02,338.0,0.546031746,0.022222222000000003,0.06984127,5.8208722999999996,475.26117456433747
63,2018-07-03,100.0,0.752873563,0.040229885,0.045977011,4.4475138,160.5005976402779
64,2018-07-04,62.0,0.698113208,0.012578616,0.062893082,4.7619048,97.4204209202362
65,2018-07-05,98.0,0.604240283,0.03180212,0.254416961,3.8914474,113.4894889387335
66,2018-07-06,952.0,0.437615243,0.028887523,0.08543331300000001,6.3260606,1215.526774614123
67,2018-07-07,1137.0,0.351058592,0.05760709,0.108321024,6.662096000000001,1290.848235454983
68,2018-07-08,1000.0,0.481623697,0.024684586,0.074053758,6.569627199999999,1338.0390146328293
69,2018-07-09,561.0,0.5569823429999999,0.017656501,0.081861958,6.0801815,787.8035008189976
70,2018-07-10,101.0,0.74025974,,0.045454545,4.9777778,
71,2018-07-11,562.0,0.730434783,0.052173912999999995,0.069565217,4.8372093000000005,857.642209190996
72,2018-07-12,85.0,0.726415094,0.023584906,0.056603774,4.2594142,135.17387662423806
73,2018-07-13,842.0,0.450277949,0.018529957,0.104385423,6.5293758,1073.3998668931097
74,2018-07-14,1102.0,0.377134725,0.040796964,0.118595825,6.862069,1283.0502684431526
75,2018-07-15,1436.0,0.478030704,0.019587083,0.104287983,6.615873,1863.8687254195365
76,2018-07-16,808.0,0.514150943,0.010613208,0.071933962,6.3008037,1123.3769814854113
77,2018-07-17,216.0,0.7613636359999999,0.045454545,0.051136364000000004,5.4814815,344.59041600146185
78,2018-07-18,36.0,0.764705882,0.025210084,0.067226891,6.229629599999999,57.764614471664856
79,2018-07-19,43.0,0.771929825,0.046783625999999995,0.070175439,4.6568627000000005,67.53166873192971
80,2018-07-20,677.0,0.643048128,0.018048128,0.08489304800000001,6.4036939,999.5419151485805
81,2018-07-21,754.0,0.46715927799999996,0.037766831,0.066912972,6.744881200000001,993.2328739226826
82,2018-07-22,823.0,0.655753968,0.014880952,0.07787698400000001,6.2910262999999995,1237.8648137928353
83,2018-07-23,235.0,0.6996098829999999,0.018205462,0.071521456,6.2093317,364.09070675072064
84,2018-07-24,85.0,0.8297872340000001,0.042553191,0.014184397,5.0891720000000005,146.8012869013371
85,2018-07-25,38.0,0.838709677,0.040322581,0.032258065,5.141935500000001,64.89057090657407
86,2018-07-26,46.0,0.8375,0.0425,0.085,3.5707434,74.05340906250001
87,2018-07-27,580.0,0.619598296,0.020693853,0.066342057,6.443317400000001,858.8979803907781
88,2018-07-28,586.0,0.647604328,0.035548686,0.080370943,6.6868273,856.3346833660377
89,2018-07-29,525.0,0.753584705,0.018056293,0.062134891,6.397883599999999,847.8382831696355
90,2018-07-30,149.0,0.791987673,0.00770416,0.061633282000000005,6.5300145999999994,248.61942216544654
91,2018-07-31,43.0,0.91509434,0.04245283,0.033018868,5.5942623,76.24946581632905
92,2018-08-01,46.0,0.8841463409999999,0.024390244,0.067073171,5.0,78.88531792277469
93,2018-08-02,40.0,0.92408377,0.031413613,0.054973822,3.6552567000000002,70.4475943753597
94,2018-08-03,489.0,0.75,0.015096618000000001,0.077294686,6.5643327000000005,777.684706305777
95,2018-08-04,501.0,0.650106838,0.049679487,0.09348290599999999,6.6498137,712.1900330839267
96,2018-08-05,474.0,0.799392097,0.027963526000000002,0.06808510599999999,6.1321212,772.6146957516133
97,2018-08-06,111.0,0.76146789,0.012844036999999999,0.09357798199999999,6.0905983,174.94999294623835
98,2018-08-07,34.0,0.8830409359999999,0.046783625999999995,0.052631579000000005,4.440217400000001,57.81613774951333
99,2018-08-08,30.0,0.900662252,0.01986755,0.11258278099999999,4.8895028,49.5951060764955
100,2018-08-09,28.0,0.913621262,0.016611296,0.07973421900000001,3.7626582,48.490036161291194
101,2018-08-10,576.0,0.694664554,0.026413101,0.09191759099999999,6.3822454,862.990893915223
102,2018-08-11,443.0,0.653935185,0.046875,0.097222222,6.6018412,630.4533167299661
103,2018-08-12,492.0,0.779569892,0.028076464,0.11051374,6.1961837,756.9226395329143
104,2018-08-13,142.0,0.8240740740000001,0.046296295999999994,0.090277778,5.916309,224.72587901623743
105,2018-08-14,41.0,0.8486842109999999,0.078947368,0.08552631599999999,4.7016575,63.8413774637801
106,2018-08-15,34.0,0.919075145,0.075144509,0.046242775,4.4923858,57.55494165375905
107,2018-08-16,22.0,0.9163987140000001,0.061093247999999996,0.099678457,3.4320988,35.639258193893234
108,2018-08-17,344.0,0.7768479779999999,0.023012552000000002,0.088563459,6.089224400000001,544.2822046397016
109,2018-08-18,378.0,0.675819985,0.070175439,0.102974828,6.4893939000000005,528.353768154275
110,2018-08-19,247.0,0.747582205,0.041586074,0.09284332699999999,6.3406489,375.2925836000559
111,2018-08-20,93.0,0.826446281,0.046831955999999994,0.077134986,6.0287958,149.41613829718676
112,2018-08-21,34.0,0.875,0.089285714,0.083333333,4.8251365999999996,53.21986610747768
113,2018-08-22,28.0,0.8764044940000001,0.050561798,0.179775281,3.9623656000000005,40.91514092543337
